Date,Team1,Team2,Map,Event
12/7/19,Infinity (16),NONAME (4),"mrg
                      Mirage",AMD Red League Northern Cone 2019
12/7/19,absolute mad lads (16),Just Swing (8),"inf
                      Inferno",ESEA Advanced Season 31 North America
12/7/19,Big Frames (16),Dogs of War (13),"d2
                      Dust2",ESEA Advanced Season 31 North America
12/7/19,Big Frames (16),Dogs of War (13),"mrg
                      Mirage",ESEA Advanced Season 31 North America
12/7/19,absolute mad lads (16),Just Swing (11),"mrg
                      Mirage",ESEA Advanced Season 31 North America
12/7/19,Just Swing (16),absolute mad lads (9),"ovp
                      Overpass",ESEA Advanced Season 31 North America
12/7/19,Front (6),LiViD (16),"nuke
                      Nuke",ESEA Advanced Season 31 North America
12/7/19,LiViD (16),Front (5),"ovp
                      Overpass",ESEA Advanced Season 31 North America
11/7/19,Copenhagen Flames (14),HAVU (16),"trn
                      Train",OGA Counter PIT by AMD and Sapphire Season 5
11/7/19,HAVU (12),Copenhagen Flames (16),"cch
                      Cache",OGA Counter PIT by AMD and Sapphire Season 5
11/7/19,HAVU (16),Copenhagen Flames (5),"nuke
                      Nuke",OGA Counter PIT by AMD and Sapphire Season 5
11/7/19,Keyd (16),paiN (6),"inf
                      Inferno",Brasil Game Show 2019
11/7/19,Big 5 (10),Sinister5 (16),"d2
                      Dust2",ESEA Open Season 31 South Africa
11/7/19,Big 5 (9),Sinister5 (16),"mrg
                      Mirage",ESEA Open Season 31 South Africa
11/7/19,Sinister5 (16),Big 5 (19),"inf
                      Inferno",ESEA Open Season 31 South Africa
11/7/19,Tricked (16),Lyngby Vikings (14),"mrg
                      Mirage",ESEA Advanced Season 31 Europe
11/7/19,Lyngby Vikings (7),Tricked (16),"trn
                      Train",ESEA Advanced Season 31 Europe
11/7/19,Tricked (14),Lyngby Vikings (16),"inf
                      Inferno",ESEA Advanced Season 31 Europe
11/7/19,Nemiga (16),Vexed (8),"vtg
                      Vertigo",ESEA Advanced Season 31 Europe
11/7/19,Vexed (13),Nemiga (16),"inf
                      Inferno",ESEA Advanced Season 31 Europe
11/7/19,Nemiga (10),Vexed (16),"mrg
                      Mirage",ESEA Advanced Season 31 Europe
11/7/19,Fierce (19),SJ (17),"vtg
                      Vertigo",ESEA Advanced Season 31 Europe
11/7/19,SJ (13),Fierce (16),"inf
                      Inferno",ESEA Advanced Season 31 Europe
11/7/19,Fierce (2),SJ (16),"d2
                      Dust2",ESEA Advanced Season 31 Europe
11/7/19,Syman (16),Unique (13),"trn
                      Train",OGA Counter PIT by AMD and Sapphire Season 5
11/7/19,Unique (3),Syman (16),"d2
                      Dust2",OGA Counter PIT by AMD and Sapphire Season 5
11/7/19,Unique (19),Syman (16),"mrg
                      Mirage",OGA Counter PIT by AMD and Sapphire Season 5
11/7/19,forZe (8),Nordavind (16),"d2
                      Dust2",LOOT.BET Smack My Beach Cup
11/7/19,Nordavind (14),forZe (16),"nuke
                      Nuke",LOOT.BET Smack My Beach Cup
11/7/19,forZe (12),Nordavind (16),"ovp
                      Overpass",LOOT.BET Smack My Beach Cup
11/7/19,Illuminar (16),Aristocracy (6),"vtg
                      Vertigo",UCC Summer Smash
11/7/19,Aristocracy (17),Illuminar (19),"nuke
                      Nuke",UCC Summer Smash
11/7/19,PACT (16),Gambit Youngsters (11),"vtg
                      Vertigo",ESEA Advanced Season 31 Europe
11/7/19,Gambit Youngsters (11),PACT (16),"trn
                      Train",ESEA Advanced Season 31 Europe
11/7/19,Justice (8),madlikewizards (16),"mrg
                      Mirage",ESL Australia & NZ Championship Season 9
11/7/19,Justice (13),madlikewizards (16),"ovp
                      Overpass",ESL Australia & NZ Championship Season 9
11/7/19,Nemiga (13),AGO (16),"inf
                      Inferno",GameAgents League Season 3
11/7/19,Nemiga (16),AGO (10),"ovp
                      Overpass",GameAgents League Season 3
11/7/19,Nemiga (11),AGO (16),"mrg
                      Mirage",GameAgents League Season 3
11/7/19,Nordavind (11),Tricked (16),"ovp
                      Overpass",UCC Summer Smash
11/7/19,Tricked (16),Nordavind (11),"nuke
                      Nuke",UCC Summer Smash
11/7/19,Ground Zero (16),rewound (9),"inf
                      Inferno",ESL Australia & NZ Championship Season 9
11/7/19,rewound (13),Ground Zero (16),"nuke
                      Nuke",ESL Australia & NZ Championship Season 9
11/7/19,Ground Zero (11),rewound (16),"d2
                      Dust2",ESL Australia & NZ Championship Season 9
11/7/19,Chiefs (16),Genuine (6),"inf
                      Inferno",ESL Australia & NZ Championship Season 9
11/7/19,Genuine (16),Chiefs (19),"nuke
                      Nuke",ESL Australia & NZ Championship Season 9
11/7/19,Anunnaki (7),Jaguar (16),"d2
                      Dust2",AMD Red League Northern Cone 2019
11/7/19,Anunnaki (8),Jaguar (16),"mrg
                      Mirage",AMD Red League Northern Cone 2019
11/7/19,Just Swing (16),ETHEREAL (13),"trn
                      Train",ESEA Advanced Season 31 North America
11/7/19,ETHEREAL (13),Just Swing (16),"ovp
                      Overpass",ESEA Advanced Season 31 North America
11/7/19,NONAME (16),Artyk (11),"inf
                      Inferno",AMD Red League Northern Cone 2019
11/7/19,NONAME (16),Artyk (6),"mrg
                      Mirage",AMD Red League Northern Cone 2019
10/7/19,Redemption POA (13),paiN (16),"inf
                      Inferno",Brasil Game Show 2019
10/7/19,Vega Squadron (16),DreamEaters (13),"trn
                      Train",OGA Counter PIT by AMD and Sapphire Season 5
10/7/19,DreamEaters (7),Vega Squadron (16),"ovp
                      Overpass",OGA Counter PIT by AMD and Sapphire Season 5
10/7/19,Vega Squadron (7),DreamEaters (16),"d2
                      Dust2",OGA Counter PIT by AMD and Sapphire Season 5
10/7/19,Energy (4),Goliath (16),"ovp
                      Overpass",ESEA Open Season 31 South Africa
10/7/19,Energy (25),Goliath (28),"vtg
                      Vertigo",ESEA Open Season 31 South Africa
10/7/19,PACT (12),Chaos (16),"trn
                      Train",OGA Counter PIT by AMD and Sapphire Season 5
10/7/19,PACT (7),Chaos (16),"ovp
                      Overpass",OGA Counter PIT by AMD and Sapphire Season 5
10/7/19,HAVU (16),Ancient (11),"nuke
                      Nuke",GameAgents League Season 3
10/7/19,HAVU (16),Ancient (4),"d2
                      Dust2",GameAgents League Season 3
10/7/19,NoChance (9),Aristocracy (16),"trn
                      Train",UCC Summer Smash
10/7/19,Aristocracy (16),NoChance (6),"nuke
                      Nuke",UCC Summer Smash
10/7/19,Aristocracy (12),NoChance (16),"d2
                      Dust2",UCC Summer Smash
10/7/19,ORDER (16),Justice (3),"inf
                      Inferno",ESL Australia & NZ Championship Season 9
10/7/19,Justice (4),ORDER (16),"vtg
                      Vertigo",ESL Australia & NZ Championship Season 9
10/7/19,Chaos (5),Nordavind (16),"mrg
                      Mirage",UCC Summer Smash
10/7/19,Nordavind (16),Chaos (8),"inf
                      Inferno",UCC Summer Smash
10/7/19,Nordavind (7),Chaos (16),"ovp
                      Overpass",UCC Summer Smash
10/7/19,madlikewizards (8),Fighting 4 Freedom (16),"d2
                      Dust2",ESL Australia & NZ Championship Season 9
10/7/19,Fighting 4 Freedom (8),madlikewizards (16),"inf
                      Inferno",ESL Australia & NZ Championship Season 9
10/7/19,madlikewizards (14),Fighting 4 Freedom (16),"ovp
                      Overpass",ESL Australia & NZ Championship Season 9
10/7/19,heX (16),Lowkey (13),"nuke
                      Nuke",ESEA Advanced Season 31 North America
10/7/19,Lowkey (6),heX (16),"mrg
                      Mirage",ESEA Advanced Season 31 North America
10/7/19,iNTACT (8),Front (16),"nuke
                      Nuke",ESEA Advanced Season 31 North America
10/7/19,Front (16),iNTACT (4),"ovp
                      Overpass",ESEA Advanced Season 31 North America
10/7/19,Front (8),iNTACT (16),"d2
                      Dust2",ESEA Advanced Season 31 North America
10/7/19,Good Game PR (16),Polar Ace (8),"vtg
                      Vertigo",ESEA Advanced Season 31 North America
10/7/19,Polar Ace (16),Good Game PR (8),"d2
                      Dust2",ESEA Advanced Season 31 North America
10/7/19,Polar Ace (14),Good Game PR (16),"trn
                      Train",ESEA Advanced Season 31 North America
10/7/19,Rejected (3),DETONA (16),"inf
                      Inferno",ESEA Open Season 31 Brazil
10/7/19,DETONA (16),Rejected (13),"mrg
                      Mirage",ESEA Open Season 31 Brazil
10/7/19,absolute mad lads (16),Final Feature (10),"mrg
                      Mirage",ESEA Advanced Season 31 North America
10/7/19,absolute mad lads (16),Final Feature (9),"ovp
                      Overpass",ESEA Advanced Season 31 North America
10/7/19,Final Feature (16),absolute mad lads (7),"nuke
                      Nuke",ESEA Advanced Season 31 North America
10/7/19,Dogs of War (16),On Lance (12),"nuke
                      Nuke",ESEA Advanced Season 31 North America
10/7/19,On Lance (16),Dogs of War (12),"mrg
                      Mirage",ESEA Advanced Season 31 North America
10/7/19,Dogs of War (16),On Lance (4),"ovp
                      Overpass",ESEA Advanced Season 31 North America
10/7/19,LiViD (16),Crystal Vision (4),"inf
                      Inferno",ESEA Advanced Season 31 North America
10/7/19,Crystal Vision (3),LiViD (16),"nuke
                      Nuke",ESEA Advanced Season 31 North America
10/7/19,LiViD (13),Crystal Vision (16),"ovp
                      Overpass",ESEA Advanced Season 31 North America
10/7/19,Strings' Llama Pack (5),Big Frames (16),"nuke
                      Nuke",ESEA Advanced Season 31 North America
10/7/19,Big Frames (16),Strings' Llama Pack (14),"inf
                      Inferno",ESEA Advanced Season 31 North America
10/7/19,Black Dragons (13),Keyd (16),"mrg
                      Mirage",ESEA Open Season 31 Brazil
10/7/19,Keyd (19),Black Dragons (15),"inf
                      Inferno",ESEA Open Season 31 Brazil
10/7/19,Furious (12),Reapers (16),"ovp
                      Overpass",ESEA Open Season 31 Brazil
10/7/19,Reapers (16),Furious (7),"inf
                      Inferno",ESEA Open Season 31 Brazil
10/7/19,RED Canids (14),paiN (16),"nuke
                      Nuke",ESEA Open Season 31 Brazil
10/7/19,RED Canids (8),paiN (16),"ovp
                      Overpass",ESEA Open Season 31 Brazil
10/7/19,paiN (14),RED Canids (16),"inf
                      Inferno",ESEA Open Season 31 Brazil
9/7/19,EOX (14),Redemption POA (16),"ovp
                      Overpass",Brasil Game Show 2019
9/7/19,RED Canids (10),INTZ.Academy (16),"ovp
                      Overpass",Brasil Game Show 2019
9/7/19,W7M (16),Santos (7),"mrg
                      Mirage",Brasil Game Show 2019
9/7/19,Bulldozer (14),Reapers (16),"inf
                      Inferno",Brasil Game Show 2019
9/7/19,Isurus (16),paiN (14),"ovp
                      Overpass",Brasil Game Show 2019
9/7/19,Keyd (8),DETONA (16),"inf
                      Inferno",Brasil Game Show 2019
9/7/19,HAVU (9),DreamEaters (16),"d2
                      Dust2",OGA Counter PIT by AMD and Sapphire Season 5
9/7/19,DreamEaters (14),HAVU (16),"ovp
                      Overpass",OGA Counter PIT by AMD and Sapphire Season 5
9/7/19,DreamEaters (16),HAVU (11),"trn
                      Train",OGA Counter PIT by AMD and Sapphire Season 5
9/7/19,CR4ZY (13),G2 (16),"trn
                      Train",ESL One New York 2019 Europe Closed Qualifier
9/7/19,CR4ZY (11),G2 (16),"d2
                      Dust2",ESL One New York 2019 Europe Closed Qualifier
9/7/19,G2 (8),CR4ZY (16),"vtg
                      Vertigo",ESL One New York 2019 Europe Closed Qualifier
9/7/19,Ambush (16),PACT (19),"nuke
                      Nuke",ESEA Advanced Season 31 Europe
9/7/19,PACT (16),Ambush (11),"vtg
                      Vertigo",ESEA Advanced Season 31 Europe
9/7/19,Nordavind (7),Fierce (16),"inf
                      Inferno",ESEA Advanced Season 31 Europe
9/7/19,Nordavind (14),Fierce (16),"nuke
                      Nuke",ESEA Advanced Season 31 Europe
9/7/19,Fierce (8),Nordavind (16),"ovp
                      Overpass",ESEA Advanced Season 31 Europe
9/7/19,Vega Squadron (16),Copenhagen Flames (11),"ovp
                      Overpass",OGA Counter PIT by AMD and Sapphire Season 5
9/7/19,Copenhagen Flames (8),Vega Squadron (16),"mrg
                      Mirage",OGA Counter PIT by AMD and Sapphire Season 5
9/7/19,Vega Squadron (8),Copenhagen Flames (16),"trn
                      Train",OGA Counter PIT by AMD and Sapphire Season 5
9/7/19,HAVU (16),SJ (8),"trn
                      Train",GameAgents League Season 3
9/7/19,SJ (12),HAVU (16),"d2
                      Dust2",GameAgents League Season 3
9/7/19,HAVU (20),SJ (22),"mrg
                      Mirage",GameAgents League Season 3
9/7/19,Tricked (19),G2 (22),"inf
                      Inferno",ESL One New York 2019 Europe Closed Qualifier
9/7/19,Tricked (7),G2 (16),"d2
                      Dust2",ESL One New York 2019 Europe Closed Qualifier
9/7/19,G2 (9),Tricked (16),"trn
                      Train",ESL One New York 2019 Europe Closed Qualifier
9/7/19,Sprout (5),CR4ZY (16),"mrg
                      Mirage",ESL One New York 2019 Europe Closed Qualifier
9/7/19,CR4ZY (16),Sprout (10),"d2
                      Dust2",ESL One New York 2019 Europe Closed Qualifier
9/7/19,buaksib (4),Gambit Youngsters (16),"mrg
                      Mirage",ESEA Advanced Season 31 Europe
9/7/19,Gambit Youngsters (16),buaksib (13),"trn
                      Train",ESEA Advanced Season 31 Europe
9/7/19,Epsilon (13),forZe (16),"mrg
                      Mirage",LOOT.BET Smack My Beach Cup
9/7/19,forZe (16),Epsilon (7),"trn
                      Train",LOOT.BET Smack My Beach Cup
9/7/19,rewound (7),Genuine (16),"trn
                      Train",ESL Australia & NZ Championship Season 9
9/7/19,Genuine (16),rewound (11),"ovp
                      Overpass",ESL Australia & NZ Championship Season 9
9/7/19,mousesports (9),CR4ZY (16),"nuke
                      Nuke",ESL One New York 2019 Europe Closed Qualifier
9/7/19,CR4ZY (13),mousesports (16),"trn
                      Train",ESL One New York 2019 Europe Closed Qualifier
9/7/19,mousesports (14),CR4ZY (16),"mrg
                      Mirage",ESL One New York 2019 Europe Closed Qualifier
9/7/19,Tricked (19),BIG (15),"d2
                      Dust2",ESL One New York 2019 Europe Closed Qualifier
9/7/19,BIG (11),Tricked (16),"nuke
                      Nuke",ESL One New York 2019 Europe Closed Qualifier
9/7/19,G2 (16),BLUEJAYS (11),"inf
                      Inferno",ESL One New York 2019 Europe Closed Qualifier
9/7/19,G2 (16),BLUEJAYS (6),"d2
                      Dust2",ESL One New York 2019 Europe Closed Qualifier
9/7/19,Chiefs (16),Ground Zero (3),"d2
                      Dust2",ESL Australia & NZ Championship Season 9
9/7/19,Ground Zero (9),Chiefs (16),"trn
                      Train",ESL Australia & NZ Championship Season 9
9/7/19,Chiefs (11),Ground Zero (16),"inf
                      Inferno",ESL Australia & NZ Championship Season 9
9/7/19,Anunnaki (19),Divine Soldiers (15),"nuke
                      Nuke",AMD Red League Northern Cone 2019
9/7/19,Anunnaki (16),Divine Soldiers (12),"mrg
                      Mirage",AMD Red League Northern Cone 2019
9/7/19,Isurus (16),Bulldozer (8),"inf
                      Inferno",Brasil Game Show 2019
8/7/19,paiN (16),Santos (10),"d2
                      Dust2",Brasil Game Show 2019
8/7/19,INTZ.Academy (5),Isurus (16),"ovp
                      Overpass",Brasil Game Show 2019
8/7/19,BLUEJAYS (12),Lyngby Vikings (16),"inf
                      Inferno",ESEA Advanced Season 31 Europe
8/7/19,BLUEJAYS (16),Lyngby Vikings (13),"trn
                      Train",ESEA Advanced Season 31 Europe
8/7/19,Lyngby Vikings (16),BLUEJAYS (3),"nuke
                      Nuke",ESEA Advanced Season 31 Europe
8/7/19,Syman (11),PACT (16),"mrg
                      Mirage",OGA Counter PIT by AMD and Sapphire Season 5
8/7/19,Syman (11),PACT (16),"trn
                      Train",OGA Counter PIT by AMD and Sapphire Season 5
8/7/19,The Final Tribe (7),Tricked (16),"mrg
                      Mirage",ESEA Advanced Season 31 Europe
8/7/19,Tricked (19),The Final Tribe (17),"ovp
                      Overpass",ESEA Advanced Season 31 Europe
8/7/19,The Final Tribe (16),Tricked (14),"trn
                      Train",ESEA Advanced Season 31 Europe
8/7/19,LDLC (14),Vexed (16),"mrg
                      Mirage",ESEA Advanced Season 31 Europe
8/7/19,Vexed (16),LDLC (13),"nuke
                      Nuke",ESEA Advanced Season 31 Europe
8/7/19,Defusekids (6),Nemiga (16),"mrg
                      Mirage",ESEA Advanced Season 31 Europe
8/7/19,Nemiga (16),Defusekids (13),"nuke
                      Nuke",ESEA Advanced Season 31 Europe
8/7/19,SJ (16),Copenhagen Flames (13),"nuke
                      Nuke",ESEA Advanced Season 31 Europe
8/7/19,Copenhagen Flames (14),SJ (16),"inf
                      Inferno",ESEA Advanced Season 31 Europe
8/7/19,Chaos (16),Unique (3),"inf
                      Inferno",OGA Counter PIT by AMD and Sapphire Season 5
8/7/19,Unique (11),Chaos (16),"mrg
                      Mirage",OGA Counter PIT by AMD and Sapphire Season 5
8/7/19,Tricked (12),Nordavind (16),"mrg
                      Mirage",LOOT.BET Smack My Beach Cup
8/7/19,Nordavind (9),Tricked (16),"nuke
                      Nuke",LOOT.BET Smack My Beach Cup
8/7/19,Tricked (12),Nordavind (16),"ovp
                      Overpass",LOOT.BET Smack My Beach Cup
8/7/19,Vega Squadron (14),Nordavind (16),"ovp
                      Overpass",LOOT.BET Smack My Beach Cup
8/7/19,Nordavind (16),Vega Squadron (11),"mrg
                      Mirage",LOOT.BET Smack My Beach Cup
8/7/19,RED Canids (15),Reapers (19),"ovp
                      Overpass",Up Expo Game 2019
8/7/19,Reapers (16),RED Canids (12),"d2
                      Dust2",Up Expo Game 2019
8/7/19,RED Canids (22),Reapers (20),"trn
                      Train",Up Expo Game 2019
7/7/19,Single Daddy (6),RED Canids (16),"inf
                      Inferno",Up Expo Game 2019
7/7/19,Single Daddy (5),RED Canids (16),"nuke
                      Nuke",Up Expo Game 2019
7/7/19,Tricked (16),Copenhagen Flames (14),"trn
                      Train",LOOT.BET Smack My Beach Cup
7/7/19,Copenhagen Flames (14),Tricked (16),"mrg
                      Mirage",LOOT.BET Smack My Beach Cup
7/7/19,Tricked (11),Copenhagen Flames (16),"ovp
                      Overpass",LOOT.BET Smack My Beach Cup
7/7/19,Aristocracy (14),Virtus.pro (16),"mrg
                      Mirage",Polish Esport League Spring 2019 Finals
7/7/19,Virtus.pro (16),Aristocracy (11),"trn
                      Train",Polish Esport League Spring 2019 Finals
7/7/19,Reapers (16),VirtuaFX (2),"ovp
                      Overpass",Up Expo Game 2019
7/7/19,Reapers (16),VirtuaFX (14),"inf
                      Inferno",Up Expo Game 2019
7/7/19,Liquid (16),Vitality (8),"mrg
                      Mirage",ESL One Cologne 2019
7/7/19,Liquid (16),Vitality (10),"inf
                      Inferno",ESL One Cologne 2019
7/7/19,Liquid (17),Vitality (19),"d2
                      Dust2",ESL One Cologne 2019
7/7/19,Vitality (6),Liquid (16),"ovp
                      Overpass",ESL One Cologne 2019
7/7/19,CLG Red (9),Besiktas (16),"inf
                      Inferno",DreamHack Showdown
7/7/19,CLG Red (16),Besiktas (5),"mrg
                      Mirage",DreamHack Showdown
7/7/19,CLG Red (10),Besiktas (16),"vtg
                      Vertigo",DreamHack Showdown
7/7/19,Virtus.pro (16),AGO (11),"inf
                      Inferno",Polish Esport League Spring 2019 Finals
7/7/19,AGO (12),Virtus.pro (16),"nuke
                      Nuke",Polish Esport League Spring 2019 Finals
7/7/19,CLG Red (16),Demise fe (6),"mrg
                      Mirage",DreamHack Showdown
7/7/19,Demise fe (5),CLG Red (16),"inf
                      Inferno",DreamHack Showdown
7/7/19,AVEZ (9),Aristocracy (16),"d2
                      Dust2",Polish Esport League Spring 2019 Finals
7/7/19,Aristocracy (16),AVEZ (11),"mrg
                      Mirage",Polish Esport League Spring 2019 Finals
7/7/19,Besiktas (16),Dignitas fe (11),"d2
                      Dust2",DreamHack Showdown
7/7/19,Besiktas (16),Dignitas fe (4),"nuke
                      Nuke",DreamHack Showdown
7/7/19,Energy (13),Big 5 (16),"d2
                      Dust2",VS Gaming CS:GO Championship 2019
7/7/19,Big 5 (8),Energy (16),"trn
                      Train",VS Gaming CS:GO Championship 2019
7/7/19,Energy (12),Big 5 (16),"mrg
                      Mirage",VS Gaming CS:GO Championship 2019
6/7/19,AGO (19),Izako Boars (15),"inf
                      Inferno",Polish Esport League Spring 2019 Finals
6/7/19,Izako Boars (13),AGO (16),"trn
                      Train",Polish Esport League Spring 2019 Finals
6/7/19,Natus Vincere (12),Liquid (16),"ovp
                      Overpass",ESL One Cologne 2019
6/7/19,Natus Vincere (12),Liquid (16),"d2
                      Dust2",ESL One Cologne 2019
6/7/19,Universe (7),BLUEJAYS (16),"nuke
                      Nuke",ESEA MDL Season 31 Europe Climber Cup
6/7/19,BLUEJAYS (16),Universe (5),"inf
                      Inferno",ESEA MDL Season 31 Europe Climber Cup
6/7/19,Defusekids (11),PACT (16),"inf
                      Inferno",ESEA MDL Season 31 Europe Climber Cup
6/7/19,PACT (16),Defusekids (13),"nuke
                      Nuke",ESEA MDL Season 31 Europe Climber Cup
6/7/19,FOREVER 21 (4),CLG Red (16),"nuke
                      Nuke",DreamHack Showdown
6/7/19,CLG Red (16),FOREVER 21 (8),"mrg
                      Mirage",DreamHack Showdown
6/7/19,Energy (16),Goliath (4),"ovp
                      Overpass",VS Gaming CS:GO Championship 2019
6/7/19,Goliath (13),Energy (16),"trn
                      Train",VS Gaming CS:GO Championship 2019
6/7/19,Energy (7),Goliath (16),"mrg
                      Mirage",VS Gaming CS:GO Championship 2019
6/7/19,Virtus.pro (16),ex-Wisła Płock (11),"nuke
                      Nuke",Polish Esport League Spring 2019 Finals
6/7/19,Virtus.pro (12),ex-Wisła Płock (16),"inf
                      Inferno",Polish Esport League Spring 2019 Finals
6/7/19,ex-Wisła Płock (8),Virtus.pro (16),"mrg
                      Mirage",Polish Esport League Spring 2019 Finals
6/7/19,LDLC (16),PACT (13),"mrg
                      Mirage",ESEA MDL Season 31 Europe Climber Cup
6/7/19,PACT (6),LDLC (16),"nuke
                      Nuke",ESEA MDL Season 31 Europe Climber Cup
6/7/19,BLUEJAYS (14),Fierce (16),"nuke
                      Nuke",ESEA MDL Season 31 Europe Climber Cup
6/7/19,Fierce (16),BLUEJAYS (9),"vtg
                      Vertigo",ESEA MDL Season 31 Europe Climber Cup
6/7/19,LOG (6),Defusekids (16),"nuke
                      Nuke",ESEA MDL Season 31 Europe Climber Cup
6/7/19,Defusekids (16),LOG (10),"d2
                      Dust2",ESEA MDL Season 31 Europe Climber Cup
6/7/19,Copenhagen Flames fe (6),Dignitas fe (16),"ovp
                      Overpass",DreamHack Showdown
6/7/19,Copenhagen Flames fe (9),Dignitas fe (16),"mrg
                      Mirage",DreamHack Showdown
6/7/19,Astralis (9),Vitality (16),"ovp
                      Overpass",ESL One Cologne 2019
6/7/19,Astralis (22),Vitality (19),"inf
                      Inferno",ESL One Cologne 2019
6/7/19,Astralis (8),Vitality (16),"d2
                      Dust2",ESL One Cologne 2019
6/7/19,Energy (16),Exdee (8),"d2
                      Dust2",VS Gaming CS:GO Championship 2019
6/7/19,BTRG (9),TYLOO (16),"inf
                      Inferno",CS:GO showmatch
6/7/19,TYLOO (13),BTRG (16),"nuke
                      Nuke",CS:GO showmatch
6/7/19,TYLOO (16),BTRG (11),"ovp
                      Overpass",CS:GO showmatch
6/7/19,Aristocracy (16),KGG (9),"mrg
                      Mirage",Polish Esport League Spring 2019 Finals
6/7/19,KGG (4),Aristocracy (16),"nuke
                      Nuke",Polish Esport League Spring 2019 Finals
6/7/19,7PM fe (6),FOREVER 21 (16),"mrg
                      Mirage",DreamHack Showdown
6/7/19,FOREVER 21 (16),7PM fe (9),"ovp
                      Overpass",DreamHack Showdown
6/7/19,Goliath (26),Big 5 (28),"inf
                      Inferno",VS Gaming CS:GO Championship 2019
6/7/19,Big 5 (16),Goliath (1),"mrg
                      Mirage",VS Gaming CS:GO Championship 2019
6/7/19,Defusekids (10),BLUEJAYS (16),"inf
                      Inferno",ESEA MDL Season 31 Europe Climber Cup
6/7/19,BLUEJAYS (16),Defusekids (5),"trn
                      Train",ESEA MDL Season 31 Europe Climber Cup
6/7/19,LOG (5),Fierce (16),"nuke
                      Nuke",ESEA MDL Season 31 Europe Climber Cup
6/7/19,Fierce (16),LOG (12),"d2
                      Dust2",ESEA MDL Season 31 Europe Climber Cup
6/7/19,Universe (13),LDLC (16),"nuke
                      Nuke",ESEA MDL Season 31 Europe Climber Cup
6/7/19,LDLC (16),Universe (2),"mrg
                      Mirage",ESEA MDL Season 31 Europe Climber Cup
6/7/19,Copenhagen Flames fe (16),Orange.Sphynx (4),"d2
                      Dust2",DreamHack Showdown
6/7/19,Orange.Sphynx (6),Copenhagen Flames fe (16),"ovp
                      Overpass",DreamHack Showdown
6/7/19,Warriors (14),AVEZ (16),"trn
                      Train",Polish Esport League Spring 2019 Finals
6/7/19,AVEZ (16),Warriors (8),"mrg
                      Mirage",Polish Esport League Spring 2019 Finals
6/7/19,Black Dragons (16),3xTeam (10),"d2
                      Dust2",ESEA Open Season 31 Brazil
6/7/19,3xTeam (16),Black Dragons (19),"inf
                      Inferno",ESEA Open Season 31 Brazil
6/7/19,Black Dragons (10),3xTeam (16),"trn
                      Train",ESEA Open Season 31 Brazil
5/7/19,Natus Vincere (16),NiP (9),"mrg
                      Mirage",ESL One Cologne 2019
5/7/19,NiP (12),Natus Vincere (16),"inf
                      Inferno",ESL One Cologne 2019
5/7/19,Besiktas (16),CLG Red (8),"trn
                      Train",DreamHack Showdown
5/7/19,Dignitas fe (23),Demise fe (25),"d2
                      Dust2",DreamHack Showdown
5/7/19,Vitality (16),NRG (7),"mrg
                      Mirage",ESL One Cologne 2019
5/7/19,NRG (7),Vitality (16),"d2
                      Dust2",ESL One Cologne 2019
5/7/19,FOREVER 21 (9),CLG Red (16),"ovp
                      Overpass",DreamHack Showdown
5/7/19,Copenhagen Flames fe (12),Demise fe (16),"nuke
                      Nuke",DreamHack Showdown
5/7/19,Besiktas (16),7PM fe (3),"inf
                      Inferno",DreamHack Showdown
5/7/19,Dignitas fe (16),Orange.Sphynx (2),"trn
                      Train",DreamHack Showdown
5/7/19,NONAME (16),EXEC (14),"mrg
                      Mirage",AMD Red League Northern Cone 2019
5/7/19,Jaguar (16),Artyk (8),"trn
                      Train",AMD Red League Northern Cone 2019
5/7/19,Reapers (16),GANSOS (12),"d2
                      Dust2",ESEA Open Season 31 Brazil
5/7/19,GANSOS (5),Reapers (16),"inf
                      Inferno",ESEA Open Season 31 Brazil
5/7/19,Isurus (16),paiN (11),"inf
                      Inferno",Brasil Game Show 2019
4/7/19,Heroic (14),Vitality (16),"inf
                      Inferno",ESL One Cologne 2019
4/7/19,Vitality (16),Heroic (13),"ovp
                      Overpass",ESL One Cologne 2019
4/7/19,NiP (8),Astralis (16),"inf
                      Inferno",ESL One Cologne 2019
4/7/19,Astralis (19),NiP (16),"d2
                      Dust2",ESL One Cologne 2019
4/7/19,NRG (20),Liquid (22),"inf
                      Inferno",ESL One Cologne 2019
4/7/19,Liquid (16),NRG (12),"nuke
                      Nuke",ESL One Cologne 2019
4/7/19,mousesports (9),Natus Vincere (16),"trn
                      Train",ESL One Cologne 2019
4/7/19,mousesports (16),Natus Vincere (8),"d2
                      Dust2",ESL One Cologne 2019
4/7/19,Natus Vincere (22),mousesports (19),"inf
                      Inferno",ESL One Cologne 2019
4/7/19,fnatic (17),Vitality (19),"ovp
                      Overpass",ESL One Cologne 2019
4/7/19,Vitality (19),fnatic (16),"mrg
                      Mirage",ESL One Cologne 2019
4/7/19,BIG (7),Heroic (16),"nuke
                      Nuke",ESL One Cologne 2019
4/7/19,Heroic (16),BIG (13),"inf
                      Inferno",ESL One Cologne 2019
4/7/19,Divine Soldiers (16),DStreet (12),"inf
                      Inferno",AMD Red League Northern Cone 2019
4/7/19,Isurus fe (1),RED Canids (16),"nuke
                      Nuke",ESEA Open Season 31 Brazil
4/7/19,RED Canids (16),Isurus fe (4),"ovp
                      Overpass",ESEA Open Season 31 Brazil
