"","date","team1","team2","map","event"
"1","20/10/19","DETONA (16)","Isurus (10)","trn
                      Train","ESL Pro League Season 10 Americas"
"2","20/10/19","ORDER (19)","AVANT (15)","d2
                      Dust2","eXTREMESLAND 2019 Oceania Regional Finals"
"3","19/10/19","9z (16)","Malvinas (12)","d2
                      Dust2","La Liga Pro Trust 2019 - Clausura Finals"
"4","19/10/19","Malvinas (16)","9z (13)","vtg
                      Vertigo","La Liga Pro Trust 2019 - Clausura Finals"
"5","19/10/19","9z (16)","Malvinas (6)","inf
                      Inferno","La Liga Pro Trust 2019 - Clausura Finals"
"6","19/10/19","Windigo (11)","HellRaisers (16)","inf
                      Inferno","ESL Pro League Season 10 Europe"
"7","19/10/19","HellRaisers (16)","Windigo (14)","trn
                      Train","ESL Pro League Season 10 Europe"
"8","19/10/19","HAVU (12)","CR4ZY (16)","d2
                      Dust2","DreamHack Open Rotterdam 2019"
"9","19/10/19","CR4ZY (5)","HAVU (16)","trn
                      Train","DreamHack Open Rotterdam 2019"
"10","19/10/19","HAVU (10)","CR4ZY (16)","inf
                      Inferno","DreamHack Open Rotterdam 2019"
"11","19/10/19","Natus Vincere (16)","G2 (13)","d2
                      Dust2","ESL Pro League Season 10 Europe"
"12","19/10/19","Natus Vincere (14)","G2 (16)","mrg
                      Mirage","ESL Pro League Season 10 Europe"
"13","19/10/19","Natus Vincere (16)","G2 (10)","ovp
                      Overpass","ESL Pro League Season 10 Europe"
"14","19/10/19","SJ (16)","Helsinki REDS (6)","nuke
                      Nuke","Elisa Viihde League"
"15","19/10/19","Helsinki REDS (8)","SJ (16)","inf
                      Inferno","Elisa Viihde League"
"16","19/10/19","SJ (9)","Helsinki REDS (16)","d2
                      Dust2","Elisa Viihde League"
"17","19/10/19","TYLOO (16)","OneThree (12)","inf
                      Inferno","eXTREMESLAND 2019 China Regional Finals"
"18","19/10/19","OneThree (5)","TYLOO (16)","d2
                      Dust2","eXTREMESLAND 2019 China Regional Finals"
"19","19/10/19","Wisła Kraków (16)","AVEZ (12)","d2
                      Dust2","Polish Esport League - WarmUp PGA"
"20","19/10/19","Wisła Kraków (11)","AVEZ (16)","trn
                      Train","Polish Esport League - WarmUp PGA"
"21","19/10/19","AVEZ (7)","Wisła Kraków (16)","inf
                      Inferno","Polish Esport League - WarmUp PGA"
"22","19/10/19","Unique (16)","Izako Boars (7)","vtg
                      Vertigo","Alienware Game Arena 2019 Finals"
"23","19/10/19","Izako Boars (6)","Unique (16)","nuke
                      Nuke","Alienware Game Arena 2019 Finals"
"24","19/10/19","Hard Legion (14)","Heroic (16)","ovp
                      Overpass","DreamHack Open Rotterdam 2019"
"25","19/10/19","Hard Legion (6)","Heroic (16)","vtg
                      Vertigo","DreamHack Open Rotterdam 2019"
"26","19/10/19","Heroic (8)","Hard Legion (16)","d2
                      Dust2","DreamHack Open Rotterdam 2019"
"27","19/10/19","Lucid Dream (16)","Alpha Red (11)","d2
                      Dust2","ESL Pro League Season 10 Asia-Pacific"
"28","19/10/19","Alpha Red (13)","Lucid Dream (16)","inf
                      Inferno","ESL Pro League Season 10 Asia-Pacific"
"29","19/10/19","DREAMSELLER (8)","MiTH.Maple (16)","inf
                      Inferno","eXTREMESLAND 2019 Thailand Regional Finals"
"30","19/10/19","DREAMSELLER (10)","MiTH.Maple (16)","ovp
                      Overpass","eXTREMESLAND 2019 Thailand Regional Finals"
"31","19/10/19","MiTH.Maple (7)","DREAMSELLER (16)","d2
                      Dust2","eXTREMESLAND 2019 Thailand Regional Finals"
"32","19/10/19","Helsinki REDS (16)","KOVA (5)","trn
                      Train","Elisa Viihde League"
"33","19/10/19","KOVA (3)","Helsinki REDS (16)","d2
                      Dust2","Elisa Viihde League"
"34","19/10/19","EHOME (16)","OneThree (11)","trn
                      Train","eXTREMESLAND 2019 China Regional Finals"
"35","19/10/19","OneThree (16)","EHOME (13)","inf
                      Inferno","eXTREMESLAND 2019 China Regional Finals"
"36","19/10/19","EHOME (16)","OneThree (11)","mrg
                      Mirage","eXTREMESLAND 2019 China Regional Finals"
"37","19/10/19","CR4ZY (16)","Asterion (13)","inf
                      Inferno","DreamHack Open Rotterdam 2019"
"38","19/10/19","Asterion (11)","CR4ZY (16)","trn
                      Train","DreamHack Open Rotterdam 2019"
"39","19/10/19","BOOT (16)","BTRG (7)","d2
                      Dust2","ESL Pro League Season 10 Asia-Pacific"
"40","19/10/19","BOOT (16)","BTRG (7)","mrg
                      Mirage","ESL Pro League Season 10 Asia-Pacific"
"41","19/10/19","Grayhound (16)","Chiefs (8)","d2
                      Dust2","eXTREMESLAND 2019 Oceania Regional Finals"
"42","19/10/19","Grayhound (16)","Chiefs (10)","nuke
                      Nuke","eXTREMESLAND 2019 Oceania Regional Finals"
"43","19/10/19","Chiefs (19)","Grayhound (17)","mrg
                      Mirage","eXTREMESLAND 2019 Oceania Regional Finals"
"44","19/10/19","PACT (16)","Ambush (4)","inf
                      Inferno","Alienware Game Arena 2019 Finals"
"45","19/10/19","Ambush (9)","PACT (16)","d2
                      Dust2","Alienware Game Arena 2019 Finals"
"46","19/10/19","PACT (17)","Ambush (19)","vtg
                      Vertigo","Alienware Game Arena 2019 Finals"
"47","19/10/19","Beyond (16)","VTE (3)","trn
                      Train","eXTREMESLAND 2019 Thailand Regional Finals"
"48","19/10/19","VTE (0)","Beyond (16)","inf
                      Inferno","eXTREMESLAND 2019 Thailand Regional Finals"
"49","19/10/19","SJ (16)","KOVA (12)","vtg
                      Vertigo","Elisa Viihde League"
"50","19/10/19","Hard Legion (16)","Besiktas (3)","mrg
                      Mirage","DreamHack Open Rotterdam 2019"
"51","19/10/19","KOVA (4)","SJ (16)","trn
                      Train","Elisa Viihde League"
"52","19/10/19","Besiktas (5)","Hard Legion (16)","trn
                      Train","DreamHack Open Rotterdam 2019"
"53","19/10/19","Lucid Dream (16)","Astro (2)","nuke
                      Nuke","eXTREMESLAND 2019 Thailand Regional Finals"
"54","19/10/19","Lucid Dream (16)","Astro (6)","mrg
                      Mirage","eXTREMESLAND 2019 Thailand Regional Finals"
"55","19/10/19","TYLOO (13)","ViCi (16)","ovp
                      Overpass","eXTREMESLAND 2019 China Regional Finals"
"56","19/10/19","ViCi (16)","TYLOO (11)","mrg
                      Mirage","eXTREMESLAND 2019 China Regional Finals"
"57","19/10/19","TYLOO (16)","ViCi (7)","inf
                      Inferno","eXTREMESLAND 2019 China Regional Finals"
"58","19/10/19","AVANT (12)","Chiefs (16)","ovp
                      Overpass","eXTREMESLAND 2019 Oceania Regional Finals"
"59","19/10/19","AVANT (12)","Chiefs (16)","nuke
                      Nuke","eXTREMESLAND 2019 Oceania Regional Finals"
"60","19/10/19","Chiefs (8)","AVANT (16)","d2
                      Dust2","eXTREMESLAND 2019 Oceania Regional Finals"
"61","19/10/19","Sharks (16)","Isurus (13)","inf
                      Inferno","ESL Pro League Season 10 Americas"
"62","19/10/19","Isurus (10)","Sharks (16)","nuke
                      Nuke","ESL Pro League Season 10 Americas"
"63","19/10/19","Legend (4)","Alpha Red (16)","d2
                      Dust2","eXTREMESLAND 2019 Thailand Regional Finals"
"64","19/10/19","Alpha Red (16)","Legend (0)","trn
                      Train","eXTREMESLAND 2019 Thailand Regional Finals"
"65","19/10/19","ORDER (20)","Grayhound (22)","nuke
                      Nuke","eXTREMESLAND 2019 Oceania Regional Finals"
"66","19/10/19","Grayhound (16)","ORDER (4)","inf
                      Inferno","eXTREMESLAND 2019 Oceania Regional Finals"
"67","19/10/19","Infinity (13)","DETONA (16)","trn
                      Train","ESL Pro League Season 10 Americas"
"68","19/10/19","DETONA (16)","Infinity (8)","inf
                      Inferno","ESL Pro League Season 10 Americas"
"69","18/10/19","Malvinas (16)","Sinisters (4)","mrg
                      Mirage","La Liga Pro Trust 2019 - Clausura Finals"
"70","18/10/19","Malvinas (16)","Sinisters (14)","ovp
                      Overpass","La Liga Pro Trust 2019 - Clausura Finals"
"71","18/10/19","HellRaisers (10)","G2 (16)","d2
                      Dust2","ESL Pro League Season 10 Europe"
"72","18/10/19","HellRaisers (13)","G2 (16)","vtg
                      Vertigo","ESL Pro League Season 10 Europe"
"73","18/10/19","9z (16)","Hawks (1)","trn
                      Train","La Liga Pro Trust 2019 - Clausura Finals"
"74","18/10/19","Hawks (11)","9z (16)","inf
                      Inferno","La Liga Pro Trust 2019 - Clausura Finals"
"75","18/10/19","SMASH (12)","Ancient (16)","d2
                      Dust2","United Masters League Season 2 Qualifier 3"
"76","18/10/19","Ancient (11)","SMASH (16)","nuke
                      Nuke","United Masters League Season 2 Qualifier 3"
"77","18/10/19","SMASH (16)","Ancient (19)","inf
                      Inferno","United Masters League Season 2 Qualifier 3"
"78","18/10/19","HAVU (14)","forZe (16)","nuke
                      Nuke","DreamHack Open Rotterdam 2019"
"79","18/10/19","Windigo (10)","Natus Vincere (16)","inf
                      Inferno","ESL Pro League Season 10 Europe"
"80","18/10/19","Natus Vincere (16)","Windigo (7)","ovp
                      Overpass","ESL Pro League Season 10 Europe"
"81","18/10/19","Helsinki REDS (16)","Conquer (2)","inf
                      Inferno","Elisa Viihde League"
"82","18/10/19","Conquer (16)","Helsinki REDS (9)","nuke
                      Nuke","Elisa Viihde League"
"83","18/10/19","Conquer (14)","Helsinki REDS (16)","trn
                      Train","Elisa Viihde League"
"84","18/10/19","SMASH (16)","SKADE (7)","trn
                      Train","United Masters League Season 2 Qualifier 3"
"85","18/10/19","SMASH (7)","SKADE (16)","inf
                      Inferno","United Masters League Season 2 Qualifier 3"
"86","18/10/19","SMASH (16)","SKADE (5)","nuke
                      Nuke","United Masters League Season 2 Qualifier 3"
"87","18/10/19","Heroic (14)","AVANGAR (16)","inf
                      Inferno","DreamHack Open Rotterdam 2019"
"88","18/10/19","CR4ZY (13)","HAVU (16)","d2
                      Dust2","DreamHack Open Rotterdam 2019"
"89","18/10/19","Ancient (16)","pro100 (2)","trn
                      Train","United Masters League Season 2 Qualifier 3"
"90","18/10/19","Ancient (16)","pro100 (6)","nuke
                      Nuke","United Masters League Season 2 Qualifier 3"
"91","18/10/19","Conquer (9)","KOVA (16)","nuke
                      Nuke","Elisa Viihde League"
"92","18/10/19","KOVA (16)","Conquer (5)","mrg
                      Mirage","Elisa Viihde League"
"93","18/10/19","BTRG (11)","Alpha Red (16)","inf
                      Inferno","ESL Pro League Season 10 Asia-Pacific"
"94","18/10/19","Alpha Red (16)","BTRG (11)","d2
                      Dust2","ESL Pro League Season 10 Asia-Pacific"
"95","18/10/19","Alpha Red (8)","BTRG (16)","mrg
                      Mirage","ESL Pro League Season 10 Asia-Pacific"
"96","18/10/19","Heroic (16)","Hard Legion (6)","ovp
                      Overpass","DreamHack Open Rotterdam 2019"
"97","18/10/19","Moops (11)","eSuba (16)","trn
                      Train","Tiger Masters Season 5 Finals"
"98","18/10/19","eSuba (16)","Moops (8)","mrg
                      Mirage","Tiger Masters Season 5 Finals"
"99","18/10/19","forZe (16)","Asterion (1)","inf
                      Inferno","DreamHack Open Rotterdam 2019"
"100","18/10/19","Lucid Dream (16)","BOOT (12)","d2
                      Dust2","ESL Pro League Season 10 Asia-Pacific"
"101","18/10/19","BOOT (12)","Lucid Dream (16)","mrg
                      Mirage","ESL Pro League Season 10 Asia-Pacific"
"102","18/10/19","Dark Tigers (3)","ECLOT (16)","ovp
                      Overpass","Tiger Masters Season 5 Finals"
"103","18/10/19","ECLOT (16)","Dark Tigers (9)","inf
                      Inferno","Tiger Masters Season 5 Finals"
"104","18/10/19","Besiktas (2)","AVANGAR (16)","ovp
                      Overpass","DreamHack Open Rotterdam 2019"
"105","18/10/19","SJ (16)","Helsinki REDS (14)","d2
                      Dust2","Elisa Viihde League"
"106","18/10/19","Helsinki REDS (9)","SJ (16)","inf
                      Inferno","Elisa Viihde League"
"107","18/10/19","SJ (12)","Helsinki REDS (16)","nuke
                      Nuke","Elisa Viihde League"
"108","18/10/19","Infinity (17)","Isurus (19)","inf
                      Inferno","ESL Pro League Season 10 Americas"
"109","18/10/19","Infinity (13)","Isurus (16)","mrg
                      Mirage","ESL Pro League Season 10 Americas"
"110","18/10/19","LiviD (20)","Divine (22)","nuke
                      Nuke","ESEA MDL Season 32 North America"
"111","18/10/19","TeamOne (16)","Monstars (7)","ovp
                      Overpass","ESEA MDL Season 32 North America"
"112","18/10/19","Ascent (16)","Mythic (8)","inf
                      Inferno","ESEA MDL Season 32 North America"
"113","18/10/19","The Quest (16)","MAC-51 (8)","inf
                      Inferno","ESEA MDL Season 32 North America"
"114","18/10/19","Riot Squad (16)","LiviD (7)","nuke
                      Nuke","ESEA MDL Season 32 North America"
"115","18/10/19","Sharks (16)","DETONA (12)","d2
                      Dust2","ESL Pro League Season 10 Americas"
"116","18/10/19","Sharks (16)","DETONA (12)","vtg
                      Vertigo","ESL Pro League Season 10 Americas"
"117","17/10/19","Evil Geniuses (16)","Cloud9 (9)","inf
                      Inferno","ECS Season 8 North America Week 3"
"118","17/10/19","Evil Geniuses (16)","Cloud9 (2)","trn
                      Train","ECS Season 8 North America Week 3"
"119","17/10/19","Windigo (13)","G2 (16)","nuke
                      Nuke","ESL Pro League Season 10 Europe"
"120","17/10/19","Windigo (14)","G2 (16)","mrg
                      Mirage","ESL Pro League Season 10 Europe"
"121","17/10/19","Heretics (12)","pro100 (16)","d2
                      Dust2","United Masters League Season 2 Qualifier 3"
"122","17/10/19","Heretics (14)","pro100 (16)","vtg
                      Vertigo","United Masters League Season 2 Qualifier 3"
"123","17/10/19","Heretics (16)","pro100 (2)","inf
                      Inferno","United Masters League Season 2 Qualifier 3"
"124","17/10/19","NiP (16)","m1x (7)","inf
                      Inferno","ECS Season 8 Europe Week 3"
"125","17/10/19","m1x (16)","NiP (12)","d2
                      Dust2","ECS Season 8 Europe Week 3"
"126","17/10/19","m1x (12)","NiP (16)","ovp
                      Overpass","ECS Season 8 Europe Week 3"
"127","17/10/19","Movistar Riders (14)","Heretics (16)","inf
                      Inferno","United Masters League Season 2 Qualifier 3"
"128","17/10/19","Nemiga (14)","Japaleno (16)","d2
                      Dust2","ESEA MDL Season 32 Europe"
"129","17/10/19","Natus Vincere (16)","HellRaisers (7)","d2
                      Dust2","ESL Pro League Season 10 Europe"
"130","17/10/19","Natus Vincere (16)","HellRaisers (7)","inf
                      Inferno","ESL Pro League Season 10 Europe"
"131","17/10/19","Virtus.pro (13)","GamerLegion (16)","mrg
                      Mirage","ESEA MDL Season 32 Europe"
"132","17/10/19","pro100 (9)","SKADE (16)","trn
                      Train","United Masters League Season 2 Qualifier 3"
"133","17/10/19","Japaleno (13)","Virtus.pro (16)","inf
                      Inferno","ESEA MDL Season 32 Europe"
"134","17/10/19","pro100 (16)","Movistar Riders (10)","trn
                      Train","United Masters League Season 2 Qualifier 3"
"135","17/10/19","Nemiga (16)","Syman (4)","d2
                      Dust2","SECTOR: MOSTBET"
"136","17/10/19","Nemiga (14)","Syman (16)","mrg
                      Mirage","SECTOR: MOSTBET"
"137","17/10/19","Syman (15)","Nemiga (19)","inf
                      Inferno","SECTOR: MOSTBET"
"138","17/10/19","Dark Tigers (20)","eSuba (22)","trn
                      Train","Tiger Masters Season 5 Finals"
"139","17/10/19","eSuba (16)","Dark Tigers (10)","inf
                      Inferno","Tiger Masters Season 5 Finals"
"140","17/10/19","Heretics (16)","SKADE (19)","inf
                      Inferno","United Masters League Season 2 Qualifier 3"
"141","17/10/19","Alpha Red (16)","BOOT (3)","trn
                      Train","ESL Pro League Season 10 Asia-Pacific"
"142","17/10/19","BOOT (16)","Alpha Red (6)","mrg
                      Mirage","ESL Pro League Season 10 Asia-Pacific"
"143","17/10/19","Alpha Red (16)","BOOT (11)","inf
                      Inferno","ESL Pro League Season 10 Asia-Pacific"
"144","17/10/19","MC (16)","Paradox (7)","inf
                      Inferno","ESEA MDL Season 32 Australia"
"145","17/10/19","Lucid Dream (16)","BTRG (12)","d2
                      Dust2","ESL Pro League Season 10 Asia-Pacific"
"146","17/10/19","Lucid Dream (16)","BTRG (6)","nuke
                      Nuke","ESL Pro League Season 10 Asia-Pacific"
"147","17/10/19","Moops (16)","ECLOT (2)","nuke
                      Nuke","Tiger Masters Season 5 Finals"
"148","17/10/19","ECLOT (14)","Moops (16)","d2
                      Dust2","Tiger Masters Season 5 Finals"
"149","17/10/19","Genuine (10)","Airborne (16)","ovp
                      Overpass","LPL Pro League Season 3"
"150","17/10/19","Airborne (16)","Genuine (11)","nuke
                      Nuke","LPL Pro League Season 3"
"151","17/10/19","PC419 (19)","SYF (22)","mrg
                      Mirage","ESEA MDL Season 32 Australia"
"152","17/10/19","Jade (16)","Paradox (13)","d2
                      Dust2","ESEA MDL Season 32 Australia"
"153","17/10/19","Airborne (13)","Genuine (16)","d2
                      Dust2","LPL Pro League Season 3"
"154","17/10/19","ATK (16)","Singularity (14)","inf
                      Inferno","ESL Pro League Season 10 Americas"
"155","17/10/19","Singularity (16)","ATK (11)","d2
                      Dust2","ESL Pro League Season 10 Americas"
"156","17/10/19","ATK (16)","Singularity (10)","trn
                      Train","ESL Pro League Season 10 Americas"
"157","17/10/19","Riot Squad (12)","The Quest (16)","mrg
                      Mirage","ESEA MDL Season 32 North America"
"158","17/10/19","Mythic (16)","Bushido Boyz (7)","ovp
                      Overpass","ESEA MDL Season 32 North America"
"159","17/10/19","Renegades (12)","Liquid (16)","inf
                      Inferno","ESL Pro League Season 10 Americas"
"160","17/10/19","Liquid (16)","Renegades (7)","mrg
                      Mirage","ESL Pro League Season 10 Americas"
"161","16/10/19","Evil Geniuses (16)","Complexity (5)","inf
                      Inferno","ECS Season 8 North America Week 3"
"162","16/10/19","Complexity (13)","Evil Geniuses (16)","ovp
                      Overpass","ECS Season 8 North America Week 3"
"163","16/10/19","North (16)","Aristocracy (0)","ovp
                      Overpass","ESL Pro League Season 10 Europe"
"164","16/10/19","Aristocracy (16)","North (8)","trn
                      Train","ESL Pro League Season 10 Europe"
"165","16/10/19","North (16)","Aristocracy (12)","nuke
                      Nuke","ESL Pro League Season 10 Europe"
"166","16/10/19","SMASH (16)","Syman (6)","d2
                      Dust2","United Masters League Season 2 Qualifier 3"
"167","16/10/19","Syman (11)","SMASH (16)","ovp
                      Overpass","United Masters League Season 2 Qualifier 3"
"168","16/10/19","BIG (3)","NiP (16)","nuke
                      Nuke","ECS Season 8 Europe Week 3"
"169","16/10/19","NiP (9)","BIG (16)","inf
                      Inferno","ECS Season 8 Europe Week 3"
"170","16/10/19","BIG (8)","NiP (16)","mrg
                      Mirage","ECS Season 8 Europe Week 3"
"171","16/10/19","Copenhagen Flames (10)","Syman (16)","mrg
                      Mirage","United Masters League Season 2 Qualifier 3"
"172","16/10/19","CR4ZY (16)","Nemiga (14)","mrg
                      Mirage","ESEA MDL Season 32 Europe"
"173","16/10/19","Illuminar (16)","Demise (10)","vtg
                      Vertigo","ESEA MDL Season 32 Europe"
"174","16/10/19","pro100 (16)","Virtus.pro (12)","trn
                      Train","ESEA MDL Season 32 Europe"
"175","16/10/19","fnatic (14)","Astralis (16)","trn
                      Train","ESL Pro League Season 10 Europe"
"176","16/10/19","Astralis (16)","fnatic (14)","inf
                      Inferno","ESL Pro League Season 10 Europe"
"177","16/10/19","Phoenix (16)","AGO (19)","mrg
                      Mirage","ESEA MDL Season 32 Europe"
"178","16/10/19","AVANGAR (16)","Illuminar (8)","mrg
                      Mirage","ESEA MDL Season 32 Europe"
"179","16/10/19","Natus Vincere Junior (12)","Spirit (16)","inf
                      Inferno","SECTOR: MOSTBET"
"180","16/10/19","Natus Vincere Junior (9)","Spirit (16)","d2
                      Dust2","SECTOR: MOSTBET"
"181","16/10/19","Ancient (16)","SMASH (13)","ovp
                      Overpass","United Masters League Season 2 Qualifier 3"
"182","16/10/19","Tricked (16)","CR4ZY (4)","trn
                      Train","ESEA MDL Season 32 Europe"
"183","16/10/19","SMASH (16)","Copenhagen Flames (12)","nuke
                      Nuke","United Masters League Season 2 Qualifier 3"
"184","16/10/19","AGO (16)","Virtus.pro (9)","inf
                      Inferno","ESEA MDL Season 32 Europe"
"185","16/10/19","GamerLegion (16)","AVANGAR (13)","ovp
                      Overpass","ESEA MDL Season 32 Europe"
"186","16/10/19","Syman (10)","Ancient (16)","d2
                      Dust2","United Masters League Season 2 Qualifier 3"
"187","16/10/19","Heretics (9)","Virtus.pro (16)","nuke
                      Nuke","ESEA MDL Season 32 Europe"
"188","16/10/19","TYLOO (16)","ViCi (4)","d2
                      Dust2","ESL Pro League Season 10 Asia-Pacific"
"189","16/10/19","TYLOO (16)","ViCi (14)","inf
                      Inferno","ESL Pro League Season 10 Asia-Pacific"
"190","16/10/19","Paradox (10)","catman (16)","d2
                      Dust2","ESEA MDL Season 32 Australia"
"191","16/10/19","Invictus (16)","MVP PK (10)","d2
                      Dust2","ESL Pro League Season 10 Asia-Pacific"
"192","16/10/19","MVP PK (4)","Invictus (16)","trn
                      Train","ESL Pro League Season 10 Asia-Pacific"
"193","16/10/19","Grayhound (16)","Buckets (9)","vtg
                      Vertigo","ESEA MDL Season 32 Australia"
"194","16/10/19","madlikewizards (23)","catman (25)","inf
                      Inferno","ESEA MDL Season 32 Australia"
"195","16/10/19","Paradox (16)","PC419 (7)","nuke
                      Nuke","ESEA MDL Season 32 Australia"
"196","16/10/19","Bizarre (16)","Dippers (1)","mrg
                      Mirage","ESEA MDL Season 32 Australia"
"197","16/10/19","SYF (16)","ZOOWEEMAMA (4)","mrg
                      Mirage","ESEA MDL Season 32 Australia"
"198","16/10/19","ORDER (8)","Grayhound (16)","mrg
                      Mirage","ESEA MDL Season 32 Australia"
"199","16/10/19","catman (7)","ORDER (16)","trn
                      Train","ESEA MDL Season 32 Australia"
"200","16/10/19","Grayhound (16)","Genuine (4)","trn
                      Train","ESEA MDL Season 32 Australia"
"201","16/10/19","Buckets (13)","catman (16)","mrg
                      Mirage","ESEA MDL Season 32 Australia"
"202","16/10/19","Liquid (16)","Singularity (3)","inf
                      Inferno","ESL Pro League Season 10 Americas"
"203","16/10/19","Singularity (15)","Liquid (19)","d2
                      Dust2","ESL Pro League Season 10 Americas"
"204","16/10/19","Liquid (12)","Singularity (16)","ovp
                      Overpass","ESL Pro League Season 10 Americas"
"205","16/10/19","Just Swing (11)","TeamOne (16)","inf
                      Inferno","ESEA MDL Season 32 North America"
"206","16/10/19","Mythic (22)","Big Frames (25)","vtg
                      Vertigo","ESEA MDL Season 32 North America"
"207","16/10/19","MAC-51 (16)","Peeker's Advantage (14)","d2
                      Dust2","ESEA MDL Season 32 North America"
"208","16/10/19","ATK (6)","Renegades (16)","trn
                      Train","ESL Pro League Season 10 Americas"
"209","16/10/19","ATK (7)","Renegades (16)","d2
                      Dust2","ESL Pro League Season 10 Americas"
"210","16/10/19","Ascent (4)","Riot Squad (16)","mrg
                      Mirage","ESEA MDL Season 32 North America"
"211","15/10/19","Cloud9 (16)","FURIA (8)","ovp
                      Overpass","ECS Season 8 North America Week 3"
"212","15/10/19","Cloud9 (16)","FURIA (11)","trn
                      Train","ECS Season 8 North America Week 3"
"213","15/10/19","Cloud9 (12)","FURIA (16)","mrg
                      Mirage","ECS Season 8 North America Week 3"
"214","15/10/19","North (17)","Astralis (19)","trn
                      Train","ESL Pro League Season 10 Europe"
"215","15/10/19","Astralis (16)","North (8)","inf
                      Inferno","ESL Pro League Season 10 Europe"
"216","15/10/19","PACT (14)","Illuminar (16)","vtg
                      Vertigo","ESEA MDL Season 32 Europe"
"217","15/10/19","Tricked (6)","m1x (16)","d2
                      Dust2","ECS Season 8 Europe Week 3"
"218","15/10/19","m1x (19)","Tricked (17)","trn
                      Train","ECS Season 8 Europe Week 3"
"219","15/10/19","Nemiga (16)","Illuminar (13)","mrg
                      Mirage","ESEA MDL Season 32 Europe"
"220","15/10/19","Phoenix (9)","HAVU (16)","trn
                      Train","ESEA MDL Season 32 Europe"
"221","15/10/19","Aristocracy (8)","fnatic (16)","mrg
                      Mirage","ESL Pro League Season 10 Europe"
"222","15/10/19","Aristocracy (16)","fnatic (8)","ovp
                      Overpass","ESL Pro League Season 10 Europe"
"223","15/10/19","fnatic (16)","Aristocracy (11)","trn
                      Train","ESL Pro League Season 10 Europe"
"224","15/10/19","forZe (9)","Syman (16)","mrg
                      Mirage","SECTOR: MOSTBET"
"225","15/10/19","forZe (8)","Syman (16)","d2
                      Dust2","SECTOR: MOSTBET"
"226","15/10/19","Syman (7)","forZe (16)","inf
                      Inferno","SECTOR: MOSTBET"
"227","15/10/19","AVANGAR (16)","Demise (6)","inf
                      Inferno","ESEA MDL Season 32 Europe"
"228","15/10/19","Tricked (16)","Virtus.pro (5)","nuke
                      Nuke","ESEA MDL Season 32 Europe"
"229","15/10/19","Tricked (12)","Nemiga (16)","mrg
                      Mirage","ESEA MDL Season 32 Europe"
"230","15/10/19","MVP PK (10)","TYLOO (16)","inf
                      Inferno","ESL Pro League Season 10 Asia-Pacific"
"231","15/10/19","TYLOO (16)","MVP PK (10)","mrg
                      Mirage","ESL Pro League Season 10 Asia-Pacific"
"232","15/10/19","GamerLegion (17)","Nemiga (19)","d2
                      Dust2","ESEA MDL Season 32 Europe"
"233","15/10/19","HAVU (16)","Virtus.pro (7)","trn
                      Train","ESEA MDL Season 32 Europe"
"234","15/10/19","Invictus (16)","ViCi (14)","nuke
                      Nuke","ESL Pro League Season 10 Asia-Pacific"
"235","15/10/19","ViCi (12)","Invictus (16)","trn
                      Train","ESL Pro League Season 10 Asia-Pacific"
"236","15/10/19","Grayhound (16)","ZOOWEEMAMA (6)","d2
                      Dust2","ESEA MDL Season 32 Australia"
"237","15/10/19","Grayhound (16)","Paradox (4)","inf
                      Inferno","ESEA MDL Season 32 Australia"
"238","15/10/19","Jade (16)","Genuine (14)","inf
                      Inferno","ESEA MDL Season 32 Australia"
"239","15/10/19","Singularity (10)","Renegades (16)","mrg
                      Mirage","ESL Pro League Season 10 Americas"
"240","15/10/19","Renegades (16)","Singularity (10)","inf
                      Inferno","ESL Pro League Season 10 Americas"
"241","15/10/19","Complexity (16)","ATK (13)","d2
                      Dust2","ECS Season 8 North America Week 3"
"242","15/10/19","ATK (13)","Complexity (16)","vtg
                      Vertigo","ECS Season 8 North America Week 3"
"243","15/10/19","Evil Geniuses (16)","ex-Singularity (2)","mrg
                      Mirage","ECS Season 8 North America Week 3"
"244","15/10/19","Evil Geniuses (16)","ex-Singularity (9)","d2
                      Dust2","ECS Season 8 North America Week 3"
"245","15/10/19","Peeker's Advantage (11)","TeamOne (16)","d2
                      Dust2","ESEA MDL Season 32 North America"
"246","15/10/19","ATK (3)","Liquid (16)","d2
                      Dust2","ESL Pro League Season 10 Americas"
"247","15/10/19","Liquid (16)","ATK (5)","vtg
                      Vertigo","ESL Pro League Season 10 Americas"
"248","14/10/19","INTZ (11)","Cloud9 (16)","nuke
                      Nuke","ECS Season 8 North America Week 3"
"249","14/10/19","Cloud9 (23)","INTZ (25)","mrg
                      Mirage","ECS Season 8 North America Week 3"
"250","14/10/19","FURIA (16)","Riot Squad (10)","nuke
                      Nuke","ECS Season 8 North America Week 3"
"251","14/10/19","FURIA (13)","Riot Squad (16)","inf
                      Inferno","ECS Season 8 North America Week 3"
"252","14/10/19","FURIA (16)","Riot Squad (14)","mrg
                      Mirage","ECS Season 8 North America Week 3"
"253","14/10/19","Cloud9 (16)","INTZ (8)","trn
                      Train","ECS Season 8 North America Week 3"
"254","14/10/19","North (11)","fnatic (16)","inf
                      Inferno","ESL Pro League Season 10 Europe"
"255","14/10/19","fnatic (16)","North (11)","nuke
                      Nuke","ESL Pro League Season 10 Europe"
"256","14/10/19","BIG (16)","FaZe (5)","trn
                      Train","ECS Season 8 Europe Week 3"
"257","14/10/19","FaZe (12)","BIG (16)","nuke
                      Nuke","ECS Season 8 Europe Week 3"
